Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v0/teas/268,1,0,260.53883298300207,260.53883298300207,260.53883298300207,260.53883298300207,129.0,0.016810592220491145,0.0,260,260,260,260,260,260,260,260,260,260,260
GET,/api/v0/teas/2682,1,0,67.76004200219177,67.76004200219177,67.76004200219177,67.76004200219177,128.0,0.016810592220491145,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/api/v0/teas/2909,1,0,223.81233298801817,223.81233298801817,223.81233298801817,223.81233298801817,127.0,0.016810592220491145,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/api/v0/teas/2923,1,0,8.935582998674363,8.935582998674363,8.935582998674363,8.935582998674363,133.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/2939,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0,0.016810592220491145,0.0,12,12,12,12,12,12,12,12,12,12,12
GET,/api/v0/teas/2970,1,0,7.3854170041158795,7.3854170041158795,7.3854170041158795,7.3854170041158795,125.0,0.016810592220491145,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/v0/teas/2998,1,0,9.449040982872248,9.449040982872248,9.449040982872248,9.449040982872248,127.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/3018,1,0,25.487542006885633,25.487542006885633,25.487542006885633,25.487542006885633,128.0,0.016810592220491145,0.0,25,25,25,25,25,25,25,25,25,25,25
GET,/api/v0/teas/3048,1,0,15.538124978775159,15.538124978775159,15.538124978775159,15.538124978775159,132.0,0.016810592220491145,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/api/v0/teas/3050,1,0,143.77541598514654,143.77541598514654,143.77541598514654,143.77541598514654,129.0,0.016810592220491145,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v0/teas/3079,1,0,9.07512500998564,9.07512500998564,9.07512500998564,9.07512500998564,128.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/3088,1,0,232.44737499044277,232.44737499044277,232.44737499044277,232.44737499044277,128.0,0.016810592220491145,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v0/teas/3164,1,0,60.09741700836457,60.09741700836457,60.09741700836457,60.09741700836457,133.0,0.016810592220491145,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/api/v0/teas/3200,1,0,227.8269160015043,227.8269160015043,227.8269160015043,227.8269160015043,133.0,0.016810592220491145,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/api/v0/teas/3218,1,0,84.9914159916807,84.9914159916807,84.9914159916807,84.9914159916807,131.0,0.016810592220491145,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/api/v0/teas/3232,1,0,179.45541700464673,179.45541700464673,179.45541700464673,179.45541700464673,129.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/api/v0/teas/329,1,0,9.31141700129956,9.31141700129956,9.31141700129956,9.31141700129956,128.0,0.016810592220491145,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/api/v0/teas/3413,1,0,526.3068329950329,526.3068329950329,526.3068329950329,526.3068329950329,128.0,0.016810592220491145,0.0,530,530,530,530,530,530,530,530,530,530,530
GET,/api/v0/teas/3456,1,0,10.297125001670793,10.297125001670793,10.297125001670793,10.297125001670793,136.0,0.016810592220491145,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/v0/teas/3523,1,0,81.06683398364112,81.06683398364112,81.06683398364112,81.06683398364112,130.0,0.016810592220491145,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/api/v0/teas/3531,1,0,12.847375008277595,12.847375008277595,12.847375008277595,12.847375008277595,132.0,0.016810592220491145,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v0/teas/3600,1,0,30.469833000097424,30.469833000097424,30.469833000097424,30.469833000097424,132.0,0.016810592220491145,0.0,30,30,30,30,30,30,30,30,30,30,30
GET,/api/v0/teas/3617,1,0,41.49833298288286,41.49833298288286,41.49833298288286,41.49833298288286,129.0,0.016810592220491145,0.0,41,41,41,41,41,41,41,41,41,41,41
GET,/api/v0/teas/373,1,0,93.49091598414816,93.49091598414816,93.49091598414816,93.49091598414816,129.0,0.016810592220491145,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/api/v0/teas/3747,1,0,27.328500000294298,27.328500000294298,27.328500000294298,27.328500000294298,136.0,0.016810592220491145,0.0,27,27,27,27,27,27,27,27,27,27,27
GET,/api/v0/teas/3782,1,0,15.122083015739918,15.122083015739918,15.122083015739918,15.122083015739918,132.0,0.016810592220491145,0.0,15,15,15,15,15,15,15,15,15,15,15
GET,/api/v0/teas/3789,1,0,173.35620798985474,173.35620798985474,173.35620798985474,173.35620798985474,130.0,0.016810592220491145,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/api/v0/teas/3795,2,0,10.005250020185485,26.1984375101747,10.005250020185485,42.39162500016391,128.0,0.03362118444098229,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/api/v0/teas/38,1,0,8.31216698861681,8.31216698861681,8.31216698861681,8.31216698861681,127.0,0.016810592220491145,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/v0/teas/3800,1,0,12.768624990712851,12.768624990712851,12.768624990712851,12.768624990712851,126.0,0.016810592220491145,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/v0/teas/3849,1,0,179.76875000749715,179.76875000749715,179.76875000749715,179.76875000749715,128.0,0.016810592220491145,0.0,180,180,180,180,180,180,180,180,180,180,180
