Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1699222761,12,GET,/api/v0/teas/5925,0.250000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222761,12,GET,/api/v0/teas/6599,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222761,12,GET,/api/v0/teas/6955,0.000000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222761,12,GET,/api/v0/teas/7132,0.000000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222761,12,GET,/api/v0/teas/7659,0.250000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222761,12,GET,/api/v0/teas/7756,0.000000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222761,12,GET,/api/v0/teas/9794,0.250000,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222761,12,POST,/api/v0/unsubscribe,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,13.491291989339516,13.491291989339516,13.491291989339516,13.491291989339516,22.0
1699222761,12,,Aggregated,2.000000,0.000000,23,30,35,38,46,47,64,64,64,64,64,23,0,24,29.76341843326657,8.0713749921415,64.41466702381149,1303.4782608695652
1699222762,14,POST,/api/v0/subscribe,0.000000,0.000000,22,22,32,32,32,32,32,32,32,32,32,3,0,22,23.52388866711408,16.530875000171363,32.04229098628275,22.0
1699222762,14,GET,/api/v0/teas,1.800000,0.000000,23,26,30,35,38,64,64,64,64,64,64,16,0,23,28.100419307520497,11.9619169854559,64.41466702381149,2415.0
1699222762,14,GET,/api/v0/teas/2939,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
1699222762,14,GET,/api/v0/teas/5925,0.200000,0.000000,47,47,47,47,47,47,47,47,47,47,47,1,0,47.0440830104053,47.0440830104053,47.0440830104053,47.0440830104053,128.0
1699222762,14,GET,/api/v0/teas/6599,0.000000,0.000000,46,46,46,46,46,46,46,46,46,46,46,1,0,46.19529101182707,46.19529101182707,46.19529101182707,46.19529101182707,132.0
1699222762,14,GET,/api/v0/teas/6955,0.200000,0.000000,39,39,39,39,39,39,39,39,39,39,39,1,0,38.549792021512985,38.549792021512985,38.549792021512985,38.549792021512985,128.0
1699222762,14,GET,/api/v0/teas/7132,0.200000,0.000000,12,12,12,12,12,12,12,12,12,12,12,1,0,12.279082991881296,12.279082991881296,12.279082991881296,12.279082991881296,132.0
1699222762,14,GET,/api/v0/teas/7407,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,11.674624984152615,11.674624984152615,11.674624984152615,11.674624984152615,127.0
1699222762,14,GET,/api/v0/teas/7659,0.200000,0.000000,30,30,30,30,30,30,30,30,30,30,30,1,0,30.296583980089054,30.296583980089054,30.296583980089054,30.296583980089054,129.0
1699222762,14,GET,/api/v0/teas/7756,0.200000,0.000000,8,8,8,8,8,8,8,8,8,8,8,1,0,8.0713749921415,8.0713749921415,8.0713749921415,8.0713749921415,128.0
1699222762,14,GET,/api/v0/teas/8418,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,24.040292017161846,24.040292017161846,24.040292017161846,24.040292017161846,138.0
1699222762,14,GET,/api/v0/teas/9794,0.200000,0.000000,57,57,57,57,57,57,57,57,57,57,57,1,0,56.62008299259469,56.62008299259469,56.62008299259469,56.62008299259469,135.0
1699222762,14,POST,/api/v0/unsubscribe,0.000000,0.000000,13,13,13,13,13,13,13,13,13,13,13,1,0,13.491291989339516,13.491291989339516,13.491291989339516,13.491291989339516,22.0
1699222762,14,,Aggregated,3.000000,0.000000,23,28,32,35,46,47,64,64,64,64,64,30,0,23,27.35165973038723,8.0713749921415,64.41466702381149,1334.4333333333334
1699222763,16,POST,/api/v0/subscribe,0.500000,0.000000,22,22,32,32,32,32,32,32,32,32,32,3,0,22,23.52388866711408,16.530875000171363,32.04229098628275,22.0
1699222763,16,GET,/api/v0/teas,1.500000,0.000000,24,30,32,35,64,68,68,68,68,68,68,20,0,24,29.79353119590087,11.9619169854559,67.63674999820068,2415.0
1699222763,16,GET,/api/v0/teas/1042,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,27.080083003966138,27.080083003966138,27.080083003966138,27.080083003966138,130.0
1699222763,16,GET,/api/v0/teas/2939,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,12.108916998840868,12.108916998840868,12.108916998840868,12.108916998840868,128.0
